implementation,dataset,dataset_name,edge_weight_type,dimension,seed,repeat_id,command,output_txt,best_tour_csv,reported_best_length,recomputed_best_length,length_abs_error,length_match,runtime_sec,exit_code,valid_tour,missing_city_count,duplicate_city_count,invalid_indices,wrong_tour_length,normalized_tour
,data/berlin52.tsp,BERLIN52,EUC_2D,52,,,,results/cuda_ga_berlin52_5526438.txt,,7542.0,7542.0,0.0,True,0.51,0,True,0,0,,False,1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6
,data/berlin52.tsp,BERLIN52,EUC_2D,52,,,,results/cuda_ga_gpu_pop_berlin52_5526438.txt,,9412.0,9412.0,0.0,True,0.2,0,True,0,0,,False,4 47 23 5 3 24 11 27 26 25 46 13 12 51 10 50 32 39 43 49 19 22 33 38 36 45 15 28 29 41 1 6 16 20 30 17 2 9 8 42 44 18 40 7 31 21 48 0 35 34 37 14
